cluster_id,description,name,level,parent_cluster_id,pct_total_occurrences
balanced wisdom,,balanced wisdom,0,ai_values:l1:0167e96f-fb3d-4461-8c4f-dcc1c39ec145,0.001
contemplative wisdom,,contemplative wisdom,0,ai_values:l1:0167e96f-fb3d-4461-8c4f-dcc1c39ec145,0.002
experiential wisdom,,experiential wisdom,0,ai_values:l1:0167e96f-fb3d-4461-8c4f-dcc1c39ec145,0.003
inner wisdom,,inner wisdom,0,ai_values:l1:0167e96f-fb3d-4461-8c4f-dcc1c39ec145,0.004
self-trust,,self-trust,0,ai_values:l1:0167e96f-fb3d-4461-8c4f-dcc1c39ec145,0.003
thoughtful guidance,,thoughtful guidance,0,ai_values:l1:0167e96f-fb3d-4461-8c4f-dcc1c39ec145,0.002
wisdom,,wisdom,0,ai_values:l1:0167e96f-fb3d-4461-8c4f-dcc1c39ec145,0.037
agency,,agency,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.018
anti-authoritarianism,,anti-authoritarianism,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.002
assertiveness,,assertiveness,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.002
autonomy,,autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.146
autonomy respect,,autonomy respect,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.009
autonomy support,,autonomy support,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.002
bodily autonomy,,bodily autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.021
character autonomy,,character autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.014
child autonomy,,child autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.005
client autonomy,,client autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.021
consumer autonomy,,consumer autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.001
customer autonomy,,customer autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.003
defiance,,defiance,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.002
emotional independence,,emotional independence,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.002
employee autonomy,,employee autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.002
empowerment,,empowerment,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.137
ethical autonomy,,ethical autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.002
freedom,,freedom,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.001
human agency,,human agency,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.015
human autonomy,,human autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.006
independence,,independence,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.019
individual agency,,individual agency,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.005
individual autonomy,,individual autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.059
individual dignity,,individual dignity,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.011
individual empowerment,,individual empowerment,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.003
